Time(ps),Counts
-20000,71
-19950,124
-19900,134
-19850,155
-19800,130
-19750,104
-19700,81
-19650,50
-19600,47
-19550,56
-19500,77
-19450,78
-19400,128
-19350,167
-19300,193
-19250,210
-19200,214
-19150,150
-19100,110
-19050,75
-19000,51
-18950,67
-18900,46
-18850,59
-18800,62
-18750,56
-18700,53
-18650,54
-18600,58
-18550,58
-18500,85
-18450,107
-18400,147
-18350,174
-18300,229
-18250,189
-18200,153
-18150,123
-18100,88
-18050,62
-18000,55
-17950,49
-17900,62
-17850,66
-17800,83
-17750,75
-17700,133
-17650,129
-17600,102
-17550,87
-17500,83
-17450,65
-17400,55
-17350,52
-17300,54
-17250,42
-17200,33
-17150,46
-17100,53
-17050,69
-17000,91
-16950,141
-16900,241
-16850,187
-16800,113
-16750,92
-16700,50
-16650,54
-16600,34
-16550,33
-16500,33
-16450,45
-16400,33
-16350,48
-16300,51
-16250,39
-16200,46
-16150,39
-16100,42
-16050,41
-16000,40
-15950,37
-15900,48
-15850,51
-15800,34
-15750,43
-15700,44
-15650,46
-15600,40
-15550,61
-15500,59
-15450,77
-15400,74
-15350,55
-15300,80
-15250,50
-15200,48
-15150,53
-15100,60
-15050,55
-15000,46
-14950,39
-14900,49
-14850,50
-14800,53
-14750,63
-14700,54
-14650,66
-14600,72
-14550,83
-14500,71
-14450,86
-14400,89
-14350,104
-14300,126
-14250,184
-14200,296
-14150,561
-14100,1223
-14050,2486
-14000,3990
-13950,3144
-13900,2031
-13850,1626
-13800,954
-13750,572
-13700,346
-13650,282
-13600,255
-13550,272
-13500,301
-13450,372
-13400,392
-13350,374
-13300,493
-13250,512
-13200,610
-13150,723
-13100,777
-13050,893
-13000,1059
-12950,1239
-12900,1540
-12850,2013
-12800,2783
-12750,4693
-12700,8563
-12650,18173
-12600,41377
-12550,100758
-12500,220598
-12450,291041
-12400,173717
-12350,74841
-12300,31152
-12250,13650
-12200,6959
-12150,3969
-12100,2330
-12050,1864
-12000,1512
-11950,1197
-11900,1028
-11850,862
-11800,765
-11750,625
-11700,530
-11650,475
-11600,437
-11550,405
-11500,362
-11450,364
-11400,308
-11350,271
-11300,254
-11250,339
-11200,424
