Time(ps),Counts
-20000,44
-19950,33
-19900,33
-19850,30
-19800,22
-19750,24
-19700,31
-19650,35
-19600,46
-19550,72
-19500,72
-19450,50
-19400,51
-19350,41
-19300,37
-19250,19
-19200,21
-19150,23
-19100,17
-19050,11
-19000,19
-18950,23
-18900,19
-18850,15
-18800,12
-18750,17
-18700,18
-18650,20
-18600,31
-18550,31
-18500,35
-18450,56
-18400,64
-18350,64
-18300,48
-18250,33
-18200,29
-18150,37
-18100,20
-18050,19
-18000,23
-17950,34
-17900,44
-17850,56
-17800,51
-17750,28
-17700,25
-17650,20
-17600,16
-17550,19
-17500,12
-17450,22
-17400,12
-17350,20
-17300,16
-17250,14
-17200,21
-17150,34
-17100,60
-17050,93
-17000,48
-16950,27
-16900,25
-16850,13
-16800,18
-16750,12
-16700,13
-16650,12
-16600,12
-16550,16
-16500,15
-16450,11
-16400,16
-16350,7
-16300,13
-16250,19
-16200,16
-16150,9
-16100,9
-16050,15
-16000,11
-15950,17
-15900,12
-15850,21
-15800,20
-15750,23
-15700,38
-15650,29
-15600,15
-15550,28
-15500,29
-15450,18
-15400,18
-15350,21
-15300,23
-15250,15
-15200,26
-15150,21
-15100,17
-15050,18
-15000,22
-14950,26
-14900,25
-14850,26
-14800,28
-14750,35
-14700,35
-14650,38
-14600,42
-14550,34
-14500,47
-14450,65
-14400,101
-14350,142
-14300,331
-14250,711
-14200,1340
-14150,1469
-14100,946
-14050,718
-14000,476
-13950,266
-13900,167
-13850,108
-13800,109
-13750,92
-13700,120
-13650,137
-13600,162
-13550,161
-13500,180
-13450,191
-13400,220
-13350,244
-13300,316
-13250,346
-13200,405
-13150,446
-13100,543
-13050,640
-13000,870
-12950,1309
-12900,2186
-12850,4194
-12800,9274
-12750,22407
-12700,52130
-12650,91860
-12600,77208
-12550,36260
-12500,14753
-12450,6255
-12400,3134
-12350,1716
-12300,1046
-12250,720
-12200,579
-12150,495
-12100,417
-12050,343
-12000,297
-11950,268
-11900,235
-11850,201
-11800,193
-11750,159
-11700,152
-11650,150
-11600,119
-11550,103
-11500,84
-11450,92
-11400,142
-11350,201
-11300,358
-11250,570
-11200,835
-11150,1204
-11100,1575
-11050,1057
-11000,471
-10950,221
-10900,122
-10850,71
-10800,59
-10750,47
-10700,37
-10650,42
-10600,25
-10550,24
-10500,27
-10450,26
-10400,13
-10350,15
-10300,16
-10250,13
-10200,14
-10150,16
-10100,13
-10050,25
-10000,21
-9950,16
-9900,16
-9850,19
-9800,24
-9750,31
-9700,18
-9650,29
-9600,21
-9550,22
-9500,15
-9450,29
-9400,16
-9350,12
-9300,14
-9250,14
-9200,17
-9150,15
-9100,15
-9050,13
-9000,14
-8950,11
-8900,14
-8850,16
-8800,15
-8750,16
-8700,13
-8650,25
-8600,12
-8550,12
-8500,19
-8450,15
-8400,16
-8350,27
-8300,37
-8250,67
-8200,80
-8150,55
-8100,34
-8050,16
-8000,25
-7950,10
-7900,12
-7850,11
-7800,12
-7750,13
-7700,20
-7650,23
-7600,24
-7550,30
-7500,29
-7450,32
-7400,59
-7350,47
-7300,36
-7250,22
-7200,14
-7150,19
-7100,23
-7050,28
-7000,42
-6950,41
-6900,53
-6850,74
-6800,56
-6750,52
-6700,26
-6650,25
-6600,26
-6550,21
-6500,20
-6450,9
-6400,17
-6350,27
-6300,24
-6250,22
-6200,10
-6150,14
-6100,13
-6050,16
-6000,25
-5950,35
-5900,48
-5850,59
-5800,44
-5750,67
-5700,43
-5650,51
-5600,37
-5550,16
-5500,20
-5450,27
-5400,26
-5350,35
-5300,38
-5250,38
-5200,43
-5150,41
-5100,44
-5050,34
-5000,16
-4950,23
-4900,17
-4850,16
-4800,13
-4750,16
-4700,19
-4650,17
-4600,24
-4550,29
-4500,50
-4450,55
-4400,62
-4350,51
-4300,21
-4250,22
-4200,23
-4150,19
-4100,12
-4050,12
-4000,8
-3950,9
-3900,12
-3850,13
-3800,11
-3750,9
-3700,14
-3650,14
-3600,16
-3550,14
-3500,11
-3450,14
-3400,13
-3350,12
-3300,14
-3250,18
-3200,18
-3150,17
-3100,15
-3050,16
-3000,24
-2950,33
-2900,19
-2850,30
-2800,21
-2750,20
-2700,11
-2650,19
-2600,18
-2550,12
-2500,19
-2450,20
-2400,20
-2350,25
-2300,17
-2250,22
-2200,19
-2150,23
-2100,33
-2050,31
-2000,31
-1950,31
-1900,38
-1850,56
-1800,51
-1750,83
-1700,159
-1650,349
-1600,810
-1550,1389
-1500,1281
-1450,846
-1400,654
-1350,398
-1300,223
-1250,126
-1200,62
-1150,47
-1100,66
-1050,73
-1000,93
-950,80
-900,83
-850,75
-800,102
-750,111
-700,119
-650,132
-600,127
-550,176
-500,210
-450,243
-400,284
-350,344
-300,432
-250,560
-200,944
-150,1607
-100,3125
-50,5258
0,3574
50,4003
100,2571
150,1397
200,803
250,515
300,443
350,322
400,287
450,238
500,198
550,157
600,146
650,138
700,139
750,111
800,95
850,75
900,94
950,71
1000,96
1050,72
1100,61
1150,62
1200,82
1250,107
1300,210
1350,433
1400,626
1450,793
1500,1276
1550,1434
1600,791
1650,315
1700,169
1750,82
1800,56
1850,28
1900,19
1950,35
2000,22
2050,26
2100,24
2150,22
2200,17
2250,12
2300,16
2350,21
2400,24
2450,13
2500,23
2550,20
2600,18
2650,15
2700,16
2750,22
2800,25
2850,26
2900,17
2950,25
3000,23
3050,20
3100,17
3150,15
3200,17
3250,22
3300,19
3350,18
3400,16
3450,14
3500,17
3550,17
3600,14
3650,10
3700,19
3750,16
3800,24
3850,9
3900,14
3950,9
4000,9
4050,8
4100,15
4150,12
4200,18
4250,17
4300,23
4350,47
4400,70
4450,80
4500,48
4550,21
4600,13
4650,17
4700,10
4750,15
4800,11
4850,13
4900,16
4950,21
5000,21
5050,27
5100,32
5150,48
5200,42
5250,48
5300,31
5350,24
5400,23
5450,23
5500,21
5550,28
5600,27
5650,35
5700,40
5750,59
5800,53
5850,48
5900,41
5950,31
6000,21
6050,21
6100,18
6150,21
6200,13
6250,22
6300,22
6350,15
6400,14
6450,13
6500,22
6550,20
6600,20
6650,28
6700,27
6750,36
6800,54
6850,72
6900,80
6950,53
7000,32
7050,20
7100,17
7150,25
7200,19
7250,25
7300,39
7350,47
7400,49
7450,41
7500,37
7550,29
7600,22
7650,26
7700,17
7750,19
7800,17
7850,15
7900,19
7950,17
8000,17
8050,23
8100,25
8150,48
8200,80
8250,51
8300,34
8350,35
8400,18
8450,16
8500,11
8550,15
8600,14
8650,16
8700,10
8750,12
8800,19
8850,21
8900,15
8950,16
9000,13
9050,14
9100,12
9150,15
9200,14
9250,15
9300,18
9350,11
9400,15
9450,13
9500,13
9550,25
9600,17
9650,27
9700,26
9750,26
9800,21
9850,21
9900,13
9950,17
10000,14
10050,18
10100,19
10150,19
10200,21
10250,15
10300,21
10350,21
10400,24
10450,22
10500,25
10550,23
10600,23
10650,46
10700,30
10750,44
10800,44
10850,75
10900,130
10950,224
11000,419
11050,1016
11100,1538
11150,1236
11200,741
11250,636
11300,354
11350,218
11400,146
11450,107
11500,98
11550,95
11600,108
11650,139
11700,138
11750,154
11800,177
11850,186
11900,211
11950,260
12000,293
12050,339
12100,424
12150,519
12200,618
12250,771
12300,1057
12350,1645
12400,3012
12450,6108
12500,14291
12550,34719
12600,75070
12650,92394
12700,53876
12750,22788
12800,9644
12850,4332
12900,2246
12950,1325
13000,851
13050,705
13100,573
13150,400
13200,376
13250,335
13300,302
13350,249
13400,205
13450,222
13500,171
13550,163
13600,147
13650,126
13700,119
13750,86
13800,98
13850,119
13900,182
13950,257
14000,498
14050,736
14100,880
14150,1446
14200,1436
14250,720
14300,293
14350,147
14400,104
14450,58
14500,46
14550,34
14600,31
14650,22
14700,28
14750,18
14800,26
14850,14
14900,19
14950,15
15000,19
15050,13
15100,14
15150,19
15200,19
15250,25
15300,17
15350,24
15400,24
15450,26
15500,33
15550,31
15600,17
15650,20
15700,34
15750,20
15800,15
15850,17
15900,18
15950,15
16000,7
16050,16
16100,16
16150,25
16200,14
16250,13
16300,11
16350,16
16400,15
16450,13
16500,11
16550,8
16600,15
16650,18
16700,17
16750,10
16800,13
16850,17
16900,19
16950,20
17000,47
17050,85
17100,54
17150,37
17200,27
17250,16
17300,12
17350,16
17400,17
17450,20
17500,9
17550,16
17600,14
17650,27
17700,20
17750,23
17800,33
17850,46
17900,37
17950,26
18000,34
18050,27
18100,21
18150,12
18200,23
18250,34
18300,44
18350,55
18400,46
18450,53
18500,40
18550,41
18600,28
18650,19
18700,21
18750,17
18800,22
18850,31
18900,20
18950,20
19000,15
19050,18
19100,17
19150,9
19200,17
19250,20
19300,31
19350,32
19400,48
19450,52
19500,49
19550,47
19600,57
19650,52
19700,26
19750,18
19800,16
19850,13
19900,28
19950,37
