Time(ps),Counts
-20000,15
-19950,13
-19900,8
-19850,3
-19800,8
-19750,3
-19700,2
-19650,5
-19600,2
-19550,6
-19500,3
-19450,4
-19400,5
-19350,4
-19300,3
-19250,2
-19200,4
-19150,6
-19100,2
-19050,3
-19000,2
-18950,5
-18900,2
-18850,0
-18800,4
-18750,5
-18700,4
-18650,5
-18600,4
-18550,4
-18500,4
-18450,4
-18400,4
-18350,1
-18300,1
-18250,2
-18200,4
-18150,7
-18100,3
-18050,6
-18000,11
-17950,10
-17900,8
-17850,10
-17800,11
-17750,9
-17700,9
-17650,5
-17600,3
-17550,4
-17500,2
-17450,1
-17400,5
-17350,2
-17300,1
-17250,1
-17200,12
-17150,8
-17100,26
-17050,17
-17000,9
-16950,8
-16900,5
-16850,4
-16800,3
-16750,2
-16700,2
-16650,2
-16600,4
-16550,4
-16500,4
-16450,4
-16400,2
-16350,4
-16300,3
-16250,2
-16200,1
-16150,2
-16100,2
-16050,3
-16000,8
-15950,1
-15900,3
-15850,5
-15800,4
-15750,6
-15700,4
-15650,7
-15600,3
-15550,4
-15500,5
-15450,3
-15400,4
-15350,6
-15300,5
-15250,6
-15200,5
-15150,4
-15100,5
-15050,3
-15000,8
-14950,9
-14900,4
-14850,11
-14800,6
-14750,3
-14700,7
-14650,5
-14600,10
-14550,16
-14500,12
-14450,8
-14400,22
-14350,33
-14300,66
-14250,155
-14200,335
-14150,359
-14100,211
-14050,148
-14000,100
-13950,56
-13900,30
-13850,33
-13800,21
-13750,23
-13700,23
-13650,37
-13600,28
-13550,43
-13500,38
-13450,47
-13400,53
-13350,61
-13300,68
-13250,61
-13200,89
-13150,103
-13100,121
-13050,157
-13000,201
-12950,348
-12900,603
-12850,1256
-12800,2976
-12750,6827
-12700,15895
-12650,29342
-12600,24457
-12550,11055
-12500,4654
-12450,1991
-12400,855
-12350,449
-12300,288
-12250,163
-12200,141
-12150,118
-12100,100
-12050,84
-12000,77
-11950,56
-11900,58
-11850,47
-11800,35
-11750,33
-11700,38
-11650,37
-11600,24
-11550,26
-11500,17
-11450,19
-11400,34
-11350,47
-11300,84
-11250,129
-11200,167
-11150,321
-11100,416
-11050,254
-11000,114
-10950,47
-10900,33
-10850,15
-10800,13
-10750,14
-10700,4
-10650,5
-10600,7
-10550,9
-10500,5
-10450,5
-10400,4
-10350,4
-10300,5
-10250,3
-10200,1
-10150,3
-10100,3
-10050,1
-10000,5
-9950,5
-9900,4
-9850,4
-9800,7
-9750,6
-9700,6
-9650,3
-9600,5
-9550,4
-9500,1
-9450,2
-9400,3
-9350,5
-9300,7
-9250,2
-9200,2
-9150,4
-9100,2
-9050,5
-9000,2
-8950,4
-8900,1
-8850,2
-8800,4
-8750,5
-8700,3
-8650,5
-8600,1
-8550,3
-8500,4
-8450,3
-8400,3
-8350,4
-8300,11
-8250,16
-8200,25
-8150,11
-8100,8
-8050,1
-8000,5
-7950,3
-7900,0
-7850,2
-7800,1
-7750,5
-7700,5
-7650,4
-7600,8
-7550,14
-7500,14
-7450,14
-7400,6
-7350,10
-7300,13
-7250,8
-7200,7
-7150,4
-7100,4
-7050,2
-7000,3
-6950,4
-6900,1
-6850,3
-6800,5
