Time(ps),Counts
-20000,42
-19950,39
-19900,22
-19850,10
-19800,12
-19750,9
-19700,21
-19650,19
-19600,27
-19550,30
-19500,36
-19450,25
-19400,14
-19350,30
-19300,22
-19250,25
-19200,14
-19150,14
-19100,17
-19050,16
-19000,17
-18950,15
-18900,15
-18850,11
-18800,11
-18750,10
-18700,10
-18650,19
-18600,21
-18550,31
-18500,23
-18450,20
-18400,18
-18350,36
-18300,18
-18250,23
-18200,15
-18150,12
-18100,12
-18050,17
-18000,21
-17950,22
-17900,19
-17850,34
-17800,27
-17750,31
-17700,30
-17650,20
-17600,22
-17550,11
-17500,10
-17450,6
-17400,5
-17350,13
-17300,14
-17250,9
-17200,24
-17150,27
-17100,52
-17050,56
-17000,41
-16950,25
-16900,15
-16850,15
-16800,12
-16750,6
-16700,14
-16650,16
-16600,8
-16550,9
-16500,9
-16450,12
-16400,14
-16350,15
-16300,9
-16250,12
-16200,12
-16150,15
-16100,11
-16050,10
-16000,9
-15950,12
-15900,4
-15850,8
-15800,6
-15750,9
-15700,13
-15650,20
-15600,29
-15550,18
-15500,17
-15450,9
-15400,19
-15350,14
-15300,14
-15250,14
-15200,22
-15150,14
-15100,13
-15050,15
-15000,13
-14950,18
-14900,20
-14850,13
-14800,24
-14750,23
-14700,19
-14650,19
-14600,25
-14550,21
-14500,34
-14450,43
-14400,53
-14350,119
-14300,192
-14250,450
-14200,990
-14150,1129
-14100,692
-14050,523
-14000,344
-13950,183
-13900,121
-13850,70
-13800,68
-13750,49
-13700,80
-13650,83
-13600,100
-13550,91
-13500,142
-13450,140
-13400,138
-13350,177
-13300,171
-13250,208
-13200,214
-13150,282
-13100,342
-13050,470
-13000,666
-12950,925
-12900,1646
-12850,3141
-12800,7128
-12750,17356
-12700,41406
-12650,76375
-12600,64644
-12550,29886
-12500,12255
-12450,5073
-12400,2491
-12350,1161
-12300,727
-12250,555
-12200,434
-12150,334
-12100,274
-12050,218
-12000,224
-11950,190
-11900,178
-11850,154
-11800,123
-11750,127
-11700,110
-11650,104
-11600,95
-11550,94
-11500,74
-11450,73
-11400,101
-11350,133
-11300,283
-11250,448
-11200,559
-11150,857
-11100,1204
-11050,745
-11000,363
-10950,170
-10900,98
-10850,43
-10800,30
-10750,31
-10700,25
-10650,18
-10600,21
-10550,15
-10500,11
-10450,14
-10400,19
-10350,8
-10300,15
-10250,12
-10200,9
-10150,13
-10100,16
