Time(ps),Counts
-20000,41
-19950,45
-19900,26
-19850,17
-19800,15
-19750,30
-19700,30
-19650,32
-19600,49
-19550,52
-19500,49
-19450,51
-19400,33
-19350,22
-19300,28
-19250,20
-19200,23
-19150,19
-19100,19
-19050,10
-19000,19
-18950,20
-18900,14
-18850,15
-18800,17
-18750,14
-18700,16
-18650,18
-18600,20
-18550,26
-18500,38
-18450,43
-18400,43
-18350,40
-18300,26
-18250,22
-18200,24
-18150,9
-18100,20
-18050,29
-18000,28
-17950,34
-17900,28
-17850,47
-17800,32
-17750,41
-17700,24
-17650,28
-17600,27
-17550,16
-17500,23
-17450,16
-17400,16
-17350,14
-17300,15
-17250,15
-17200,25
-17150,36
-17100,50
-17050,62
-17000,36
-16950,19
-16900,17
-16850,15
-16800,22
-16750,10
-16700,9
-16650,14
-16600,17
-16550,13
-16500,23
-16450,10
-16400,10
-16350,17
-16300,13
-16250,10
-16200,17
-16150,13
-16100,13
-16050,13
-16000,11
-15950,12
-15900,18
-15850,17
-15800,14
-15750,17
-15700,24
-15650,21
-15600,21
-15550,23
-15500,9
-15450,19
-15400,18
-15350,25
-15300,21
-15250,21
-15200,24
-15150,25
-15100,18
-15050,16
-15000,23
-14950,18
-14900,27
-14850,22
-14800,29
-14750,24
-14700,32
-14650,38
-14600,26
-14550,38
-14500,58
-14450,74
-14400,96
-14350,155
-14300,323
-14250,676
-14200,1333
-14150,1378
-14100,911
-14050,680
-14000,504
-13950,280
-13900,171
-13850,115
-13800,111
-13750,82
-13700,107
-13650,134
-13600,155
-13550,158
-13500,159
-13450,208
-13400,201
-13350,229
-13300,268
-13250,330
-13200,412
-13150,422
-13100,564
-13050,686
-13000,876
-12950,1273
-12900,2195
-12850,4370
-12800,9582
-12750,22850
-12700,52217
-12650,88280
-12600,74854
-12550,36331
-12500,15020
-12450,6350
-12400,3045
-12350,1662
-12300,988
-12250,737
-12200,620
-12150,496
-12100,371
-12050,371
-12000,291
-11950,257
-11900,246
-11850,225
-11800,181
-11750,140
-11700,169
-11650,133
-11600,114
-11550,101
-11500,116
-11450,87
-11400,123
-11350,198
-11300,395
-11250,589
-11200,787
-11150,1180
-11100,1515
-11050,990
-11000,467
-10950,219
-10900,115
-10850,57
-10800,49
-10750,40
-10700,34
-10650,38
-10600,31
-10550,20
-10500,23
-10450,21
-10400,15
-10350,18
-10300,19
-10250,16
-10200,24
-10150,21
-10100,12
-10050,19
-10000,15
-9950,19
-9900,16
-9850,14
-9800,24
-9750,32
-9700,18
-9650,29
-9600,19
-9550,26
-9500,22
-9450,10
-9400,17
-9350,20
-9300,14
-9250,18
-9200,17
-9150,13
-9100,6
-9050,18
-9000,22
-8950,17
-8900,14
-8850,15
-8800,13
-8750,16
-8700,10
-8650,20
-8600,11
-8550,9
-8500,18
-8450,19
-8400,21
-8350,22
