Time(ps),Counts
-20000,16
-19950,6
-19900,5
-19850,7
-19800,9
-19750,13
-19700,15
-19650,14
-19600,19
-19550,17
-19500,23
-19450,14
-19400,12
-19350,20
-19300,18
-19250,5
-19200,10
-19150,7
-19100,6
-19050,13
-19000,13
-18950,13
-18900,13
-18850,12
-18800,18
-18750,11
-18700,30
-18650,23
-18600,18
-18550,16
-18500,14
-18450,11
-18400,12
-18350,9
-18300,2
-18250,9
-18200,8
-18150,16
-18100,15
-18050,36
-18000,26
-17950,22
-17900,13
-17850,14
-17800,10
-17750,12
-17700,10
-17650,9
-17600,9
-17550,12
-17500,6
-17450,9
-17400,14
-17350,23
-17300,26
-17250,34
-17200,48
-17150,25
-17100,22
-17050,10
-17000,12
-16950,6
-16900,8
-16850,6
-16800,8
-16750,6
-16700,7
-16650,9
-16600,9
-16550,9
-16500,13
-16450,12
-16400,10
-16350,4
-16300,9
-16250,8
-16200,5
-16150,12
-16100,9
-16050,8
-16000,5
-15950,0
-15900,7
-15850,14
-15800,8
-15750,18
-15700,20
-15650,8
-15600,11
-15550,6
-15500,9
-15450,6
-15400,12
-15350,8
-15300,8
-15250,7
-15200,7
-15150,9
-15100,14
-15050,14
-15000,16
-14950,9
-14900,12
-14850,13
-14800,13
-14750,15
-14700,35
-14650,15
-14600,28
-14550,75
-14500,96
-14450,184
-14400,373
-14350,820
-14300,807
-14250,487
-14200,384
-14150,249
-14100,138
-14050,75
-14000,65
-13950,51
-13900,60
-13850,62
-13800,78
-13750,95
-13700,104
-13650,104
-13600,101
-13550,117
-13500,141
-13450,161
-13400,184
-13350,206
-13300,228
-13250,324
-13200,353
-13150,444
-13100,790
-13050,1492
-13000,2795
-12950,6188
-12900,15384
-12850,36056
-12800,62689
-12750,46481
-12700,20392
-12650,8542
-12600,3652
-12550,1779
-12500,965
-12450,613
-12400,405
-12350,337
-12300,261
-12250,224
-12200,187
-12150,166
-12100,129
-12050,135
-12000,108
-11950,107
-11900,83
-11850,68
-11800,67
-11750,51
-11700,59
-11650,53
-11600,59
-11550,87
-11500,121
-11450,215
-11400,347
-11350,461
-11300,717
-11250,927
-11200,525
-11150,256
-11100,138
-11050,69
-11000,45
-10950,30
-10900,32
-10850,25
-10800,22
-10750,13
-10700,21
-10650,20
-10600,19
-10550,24
-10500,25
-10450,22
-10400,22
-10350,23
-10300,26
-10250,36
-10200,39
-10150,40
-10100,39
-10050,46
-10000,64
-9950,86
-9900,90
-9850,93
-9800,97
-9750,85
-9700,94
-9650,80
-9600,76
-9550,57
-9500,49
-9450,39
-9400,46
-9350,35
-9300,27
-9250,15
-9200,23
-9150,23
-9100,15
-9050,18
-9000,18
-8950,7
-8900,7
-8850,17
-8800,8
-8750,11
-8700,11
-8650,10
-8600,11
-8550,8
-8500,19
-8450,25
-8400,46
-8350,52
-8300,29
-8250,22
-8200,20
-8150,6
-8100,10
-8050,8
-8000,9
-7950,12
-7900,6
-7850,3
-7800,12
-7750,18
-7700,19
-7650,18
-7600,26
-7550,26
-7500,34
-7450,20
-7400,10
-7350,10
-7300,16
-7250,11
-7200,10
-7150,12
-7100,10
-7050,12
-7000,14
-6950,15
-6900,18
-6850,26
-6800,18
-6750,18
-6700,9
-6650,9
-6600,5
-6550,7
-6500,11
-6450,8
-6400,6
-6350,11
-6300,9
-6250,12
-6200,16
-6150,12
-6100,13
-6050,17
-6000,14
-5950,14
-5900,11
-5850,14
-5800,10
-5750,9
-5700,11
-5650,13
-5600,10
-5550,6
-5500,16
-5450,25
-5400,28
-5350,23
-5300,24
-5250,22
-5200,17
-5150,11
-5100,12
-5050,6
-5000,8
-4950,11
-4900,10
-4850,14
-4800,15
-4750,6
-4700,16
-4650,30
-4600,54
-4550,43
-4500,33
-4450,19
-4400,13
-4350,10
-4300,5
-4250,11
-4200,18
-4150,13
-4100,17
-4050,21
-4000,16
-3950,17
-3900,18
-3850,23
-3800,26
-3750,35
-3700,33
-3650,35
-3600,39
-3550,31
-3500,38
-3450,34
-3400,50
-3350,46
-3300,69
-3250,62
-3200,83
-3150,71
-3100,63
-3050,69
-3000,67
-2950,60
-2900,69
-2850,50
-2800,28
-2750,30
-2700,30
-2650,16
-2600,15
-2550,19
-2500,24
-2450,20
-2400,14
-2350,15
-2300,21
-2250,13
-2200,15
-2150,13
-2100,17
-2050,17
-2000,14
-1950,42
-1900,45
-1850,89
-1800,205
-1750,509
-1700,896
-1650,674
-1600,434
-1550,352
-1500,201
-1450,105
-1400,47
-1350,32
-1300,21
-1250,21
-1200,24
-1150,23
-1100,36
-1050,17
-1000,23
-950,17
-900,16
-850,16
-800,13
-750,13
-700,15
-650,9
-600,12
-550,10
-500,9
-450,15
-400,18
-350,31
-300,87
-250,177
-200,335
-150,292
-100,309
-50,162
0,69
50,23
100,22
150,9
200,10
250,10
300,11
350,6
400,10
450,8
500,5
550,11
600,19
650,15
700,19
750,19
800,33
850,34
900,25
950,21
1000,19
1050,34
1100,66
1150,129
1200,198
1250,340
1300,489
1350,763
1400,782
1450,369
1500,182
1550,57
1600,54
1650,32
1700,10
1750,18
1800,21
1850,21
1900,17
1950,14
2000,16
2050,17
2100,24
2150,19
2200,23
2250,19
2300,33
2350,35
2400,35
2450,34
2500,49
2550,57
2600,66
2650,74
2700,77
2750,108
2800,103
2850,105
2900,108
2950,100
3000,80
3050,68
3100,81
3150,72
3200,33
3250,34
3300,45
3350,31
3400,35
3450,16
3500,19
3550,21
3600,14
3650,12
3700,16
3750,12
3800,8
3850,14
3900,7
3950,9
4000,12
4050,6
4100,14
4150,22
4200,30
4250,46
4300,47
4350,27
4400,14
4450,11
4500,14
4550,8
4600,11
4650,8
4700,11
4750,14
4800,8
4850,8
4900,11
4950,20
5000,17
5050,32
5100,33
5150,24
5200,11
5250,12
5300,9
5350,13
5400,13
5450,12
5500,10
5550,19
5600,11
5650,21
5700,17
5750,20
5800,17
5850,22
5900,14
5950,16
6000,15
6050,8
6100,7
6150,4
6200,5
6250,12
6300,6
6350,8
6400,11
6450,16
6500,27
6550,16
6600,12
6650,14
6700,14
6750,11
6800,6
6850,5
6900,6
6950,9
7000,13
7050,8
7100,15
7150,16
7200,24
7250,24
7300,31
7350,18
7400,24
7450,17
7500,10
7550,11
7600,14
7650,8
7700,4
7750,9
7800,10
7850,14
7900,15
